ClubOfficialId,Sport code,Aanduiding code,Aanduiding,Competitiesoort,Klasse code,Klasse,Poule code,Poule,Intern wedstrijdnummer,Wedstrijdnummer,Elftal,Elftalcode,Sorteervolgorde,Thuis teamcode,Thuis team,Gesl thuis team,Thuis organisatiecode,Uit teamcode,Uit organisatiecode,Uit team,Gesl uit team,Wedstrijd,Thuisscore,Uitscore,Wedstrijddatum,Wedstrijddatum (niet geformatteerd),Aanvangstijd,Accommodatie code,Accommodatie naam,Straat,Huisnummer,Toevoeging,Postcode,Plaats,Telefoon,Veld,Veldtype,Veld/Zaal,Info,Arbitrage opmerkingen,Tuchtstatus,Bijzonderheden,Code buiten mededinging,Buiten mededinging,District,ClubOfficialId,Wedstrijdstatus,ClubOfficialId,Internetstatus,Sport omschrijving,Wedstrijddetails Code,DWF wedstrijd?,Verenigingsofficials,Bondsofficials,Scheidsrechter(s),ClubOfficialId,ClubOfficialId,Scheidsrechtercode,Scheidsrechter,Overige officialcode,Overige official,Scheidsrechter,Kleedkamer thuis,Kleedkamer uit,Kleedkamer official,Vertrektijd,Rijder(s),Soort wedstrijd,Thuiswedstrijd?,Kleding uitgereikt,Op terrein tegenstander?,Bondswedstrijd?,Bond/Club,Info
"","SOCCER-VE-ZO","0519","0519 Mannen Zondag reserve","DEFAULT_COMPETITION","16","6e klasse","389423","18","9225968","125999","Zwaluwen Utrecht 11 4","189480","4","189480","Zwaluwen Utrecht 11 4","man","BBCC67I","104392","BBCC357","Houten 7","man","Zwaluwen Utrecht 11 4 - Houten 7","","","12/04/2015","2015-04-12","11:00","BBCF51O","Sportpark "Welgelegen"- Zw. Utrec'11","Grebbeberglaan","4","","3527VX","UTRECHT","","veld 3","WeTra","Veld","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","CLUB_TOBE_SCHEDULED","Veld ZO","","true","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
"","SOCCER-VE-ZO","0519","0519 Mannen Zondag reserve","DEFAULT_COMPETITION","16","6e klasse","389430","19","9389440","153040","Zwaluwen Utrecht 11 5","189479","5","98384","HMS 2","man","BBBZ30I","189479","BBCC67I","Zwaluwen Utrecht 11 5","man","HMS 2 - Zwaluwen Utrecht 11 5","","","12/04/2015","2015-04-12","14:30","BBCF53Q","Sportpark "Manitobadreef" - HMS","Manitobadreef","8","","3565CH","UTRECHT","","veld 1","Gras","Veld","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","CLUB_TOBE_SCHEDULED","Veld ZO","","true","","","","","","","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","15","5e klasse","381263","19","8818770","13798","Zwaluwen Utrecht 11 6","189243","6","105551","Kosterman 8","man","BBCB14T","189243","BBCC67I","Zwaluwen Utrecht 11 6","man","Kosterman 8 - Zwaluwen Utrecht 11 6","","","10/04/2015","2015-04-10","21:00","BBCG733","Zuilen","Burg Norbruislaan","680","","3555EZ","UTRECHT","","Zuilen veld 1","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","15","5e klasse","381443","20","9537883","203370","Zwaluwen Utrecht 11 7","189244","7","189244","Zwaluwen Utrecht 11 7","man","BBCC67I","101156","BBBZ41C","Hercules 12","man","Zwaluwen Utrecht 11 7 - Hercules 12","","","10/04/2015","2015-04-10","20:10","MMYH347","Nieuw Welgelegen","Grebbeberglaan","13","","3527VX","UTRECHT","","Nieuw Welgelegen veld 1 (beneden)","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","16","6e klasse","381178","22","8828731","23759","Zwaluwen Utrecht 11 8","198995","8","242569","OSM 75 3","man","BBCC61C","198995","BBCC67I","Zwaluwen Utrecht 11 8","man","OSM 75 3 - Zwaluwen Utrecht 11 8","","","10/04/2015","2015-04-10","19:15","MDRH15O","Weide Wereld","Teunisbloemlaan","48","","3452CB","VLEUTEN","","Weide Wereld veld 1","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","A. Kharkhour (Scheidsrechter)","A. Kharkhour (Scheidsrechter)","","","BBJM65D","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","16","6e klasse","381156","23","8817910","12938","Zwaluwen Utrecht 11 9","198999","9","101161","Hercules 17","man","BBBZ41C","198999","BBCC67I","Zwaluwen Utrecht 11 9","man","Hercules 17 - Zwaluwen Utrecht 11 9","","","09/04/2015","2015-04-09","21:05","BBCG46V","Hercules","Voorveldselaan","2","","3573PV","UTRECHT","","Hercules veld 1","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","T. Hennipman (Scheidsrechter)","T. Hennipman (Scheidsrechter)","","","BCVW91R","","","","","","","","","","Bondswedstrijd","false","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","16","6e klasse","381230","24","8827051","22079","Zwaluwen Utrecht 11 11","218789","11","218789","Zwaluwen Utrecht 11 11","man","BBCC67I","204175","BBCC67I","Zwaluwen Utrecht 11 10","man","Zwaluwen Utrecht 11 11 - Zwaluwen Utrecht 11 10","","","09/04/2015","2015-04-09","20:10","MMYH347","Nieuw Welgelegen","Grebbeberglaan","13","","3527VX","UTRECHT","","Nieuw Welgelegen veld 2 (boven)","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","16","6e klasse","381231","25","8827363","22391","Zwaluwen Utrecht 11 13","220545","13","220545","Zwaluwen Utrecht 11 13","man","BBCC67I","218790","BBCC67I","Zwaluwen Utrecht 11 12","man","Zwaluwen Utrecht 11 13 - Zwaluwen Utrecht 11 12","","","09/04/2015","2015-04-09","19:15","MMYH347","Nieuw Welgelegen","Grebbeberglaan","13","","3527VX","UTRECHT","","Nieuw Welgelegen veld 2 (boven)","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","17","7e klasse","381103","15","8827845","22873","Zwaluwen Utrecht 11 14","231190","14","231190","Zwaluwen Utrecht 11 14","man","BBCC67I","247472","BBCB00S","EDO (U) 2","man","Zwaluwen Utrecht 11 14 - EDO (U) 2","","","09/04/2015","2015-04-09","21:05","MMYH347","Nieuw Welgelegen","Grebbeberglaan","13","","3527VX","UTRECHT","","Nieuw Welgelegen veld 2 (boven)","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
"","SOCCER-ZA-WK","1214","1214 Mannen Zaal recreatie","DEFAULT_COMPETITION","17","7e klasse","381103","15","8827990","23018","Zwaluwen Utrecht 11 15","232398","15","232398","Zwaluwen Utrecht 11 15","man","BBCC67I","100774","BBBZ41C","Hercules 24","man","Zwaluwen Utrecht 11 15 - Hercules 24","","","09/04/2015","2015-04-09","22:00","MMYH347","Nieuw Welgelegen","Grebbeberglaan","13","","3527VX","UTRECHT","","Nieuw Welgelegen veld 2 (boven)","","Zaal","meer >>","","","Te spelen","","","KNVB-DISTRICT-WEST1","","gepland","","","Zaal WK","","false","","","","","","","","","","","","","","","","Bondswedstrijd","true","","false","true","B","meer >>"
